id,name,place_type,latitude,longitude,population
737823267,Ahmadabad,village,36.3055127,74.7328276,
737823272,Altit,village,36.3199273,74.6835167,
737881251,Salamanbad,village,36.3084089,74.7741163,
738262480,Jutal,village,36.045674,74.299689,
738262486,Rahimabad,village,36.1052777,74.299311,
738288583,Khanabad,village,36.2461727,74.4540999,
738288616,Gulmet Nagar,village,36.2413722,74.4781245,
738288621,Chaprote,village,36.2612325,74.2893858,
738297218,Pisan,village,36.2500808,74.5177383,
738297220,Minapin,village,36.2523366,74.5358705,
738949728,Nazimabad-Pyeen,village,36.3394868,74.8690536,
738949729,Ainabad,village,36.3160751,74.8682818,
738978986,Hakucher Nagar,village,36.2735026,74.613734,
738978993,Nagarkhas,town,36.2759992,74.7164489,
738978997,Askurdass Nagar,village,36.3012112,74.6352286,
738979001,Shayar Nagar,village,36.2956603,74.6173532,
739670280,Husseini,village,36.4253556,74.875443,
739757435,Sakwar,village,35.8813295,74.3863836,
739895161,Chamughar,village,35.8451327,74.5363258,
739895192,Hosi,village,35.6941784,74.6648714,
739895198,Pari Banglow,village,35.819671,74.5570112,
739903865,Daro,village,35.6740585,74.6140433,
739903868,Damot,village,35.6960072,74.5976367,
739921269,Ramghat Pul,village,35.5809275,74.6534781,
739921287,Lichar,village,35.5115556,74.6285438,
739981454,Drang,village,35.4894553,74.5030252,
739981538,Jalipur,village,35.4531495,74.4626104,
739981541,Bargin,village,35.4783298,74.4703753,
740037902,Bunar,village,35.4028992,74.3275767,
740037905,Ke Ges,village,35.4377107,74.29836,
740037906,Gīne,village,35.3779531,74.2263941,
740037908,Gasbala,village,35.4218054,74.3347931,
740037910,Chhirowāi,hamlet,35.4006155,74.2330789,
740037911,Gunar,village,35.4039386,74.3763088,
740097261,Thalpan,village,35.4143418,74.1492451,
740097269,Sinai Much,village,35.4885229,73.8632456,
740097273,Khotobut,village,35.4789121,73.8555733,
740097276,Muruski,village,35.4721346,73.8404306,
740097279,Bāsha,village,35.5112652,73.7248087,
740097282,Balugush,village,35.4507455,73.9961362,
740145829,Shatiāl,village,35.525415,73.5508006,
740145842,Bhasah Harban,village,35.5190289,73.6034834,
740145847,Sazīn,village,35.5154935,73.500743,
740159547,Gayal,village,35.4249026,73.1970262,
740159548,Uchār,village,35.3338802,73.2095351,
740159549,Kuma,village,35.349039,73.1982212,
740159550,Kauge,village,35.3262287,73.1922862,
740159551,Duga,village,35.3793945,73.2016172,
740159552,Banda-i-Sazin,village,35.5048358,73.3112632,
740162445,Zalu,village,35.2938703,73.1947322,
740162446,Dassu,town,35.2686424,73.2240114,19219
740162448,Kamila,village,35.2604201,73.2172304,
740162449,Jalkot,village,35.2526786,73.2170937,
740162450,Chuchung,village,35.2999978,73.2031561,
740166688,Kirb,village,35.1858568,73.1122946,
740166689,Alwai,village,35.2033414,73.1403412,
740166690,Lautil,village,35.2123207,73.1407991,
740166691,Jai,village,35.2429285,73.1782295,
740166692,Kawāi,village,35.0898391,72.9908409,
740166693,Mate,village,35.2231303,73.1544633,
740166694,Kusser,hamlet,35.1646486,73.0960294,
740166695,Palas,village,35.1032259,73.0004612,
740166696,Leo,village,35.1428966,73.0661291,
740166697,Pattan,town,35.1102154,73.0052151,
740166698,Sigel Kan,village,35.1123693,73.0477763,
740166699,Kunsher,village,35.146499,73.114548,
741615507,Jijal,village,35.0386165,72.9249714,
741615509,Kolai,village,35.0481092,72.9669369,
741615510,Mahran,hamlet,35.0295463,72.9330602,
741615512,Serai,hamlet,35.0606536,72.9566214,
741615514,Shamalgul,village,35.0200175,72.913382,
741615515,Sandār,village,35.0588361,72.9487663,
741665049,Pandiār,village,34.9533814,72.8947091,
741665051,Khān Banjār,village,34.8581337,72.9479466,
741665057,Kuz Kalai,village,34.9466525,72.8857723,
741665060,Jabagai,village,34.8645288,72.9432704,
741665062,Jambera,village,34.849958,72.9814144,
741665069,Munjai,village,34.9429026,72.87852,
741665072,Kishar,village,34.9812962,72.9112735,
741665074,Piplai,village,34.8443606,72.9861937,
741665077,Shiwi,village,34.8753098,72.9108066,
741665080,Shang,village,34.88288,72.8851516,
741665082,Kund Saiyidān,village,34.8940839,72.8664132,
741701927,Dandai,village,34.8141055,72.9470875,
741701928,Kalai,village,34.7992591,72.9252,
741701929,Kosam,village,34.7668964,72.9300322,
741701930,Maira,village,34.7595174,72.8307131,
741701931,Batkūl kalay,village,34.8135063,72.9726318,
741701932,Kuz,village,34.764589,72.909557,
741701933,Sarkūl,village,34.7626762,72.8932713,
741701934,Bab,village,34.8152321,73.0214731,
741701935,Sejbyar,village,34.827852,73.0061915,
741701936,Goriār,village,34.7581007,72.8988536,
741701937,Tarlai,village,34.7615664,72.878515,
741701938,Māngāno,village,34.8404271,72.9963984,
741701939,Zezāri,village,34.7419286,72.8225037,
741701941,Māser,village,34.7576392,72.8215684,
741701942,Bar,village,34.806112,72.9301036,
741701943,Marer,village,34.7730907,72.8418323,
741701944,Kāpitai,village,34.7751526,72.9203384,
741718298,Piānr,village,34.7167343,72.8139825,
741718299,Garai,village,34.6102884,72.764934,
741718300,Jigal,hamlet,34.7128163,72.797354,
741718301,Shagai,village,34.6787261,72.8026538,
741718302,Bāndo,village,34.7033495,72.801735,
