OBJECTID_1,Id,OBJECTID,Shape_Leng,Shape_Le_1,Shape_Area,area_km2,longitude,latitude,is_top200,avg_temp_c,avg_precip_mm,label
8531,0,0,0.0,608.833098423,11681.9157911,0.0116819157911,75.12187645716918,34.914655921417044,False,-2.4,1.63,0
8532,0,0,0.0,411.161693845,9035.42265967,0.009035422659669999,75.13308247754335,34.91629124349915,False,-2.4,1.63,0
8533,0,0,0.0,266.456235564,4684.66933998,0.00468466933998,75.15444566334477,34.92047127351148,False,-2.4,1.63,0
8534,0,0,0.0,302.445063978,3674.08664392,0.00367408664392,75.1526308598651,34.91877915649364,False,-2.4,1.63,0
8535,0,0,0.0,115.001103993,697.244922493,0.000697244922493,75.1479666163045,34.92664441489155,False,-2.4,1.63,0
8536,0,0,0.0,230.933661863,3846.52196391,0.00384652196391,75.14622754120737,34.9267064131296,False,-2.4,1.63,0
8537,0,0,0.0,148.451967206,1565.47666763,0.00156547666763,75.20360780722208,34.910183532257385,False,-2.4,1.63,0
8538,0,0,0.0,621.625682783,27706.1513724,0.027706151372399998,75.33220027010921,35.10477284716344,False,-2.54,1.23,0
8539,0,0,0.0,689.746065907,23659.3266098,0.0236593266098,75.33541139491842,35.09629300684068,False,-2.54,1.23,0
8540,0,0,0.0,374.057992214,8965.49038752,0.00896549038752,75.340188029374,35.097343607200585,False,-2.54,1.23,0
8541,0,0,0.0,287.345441699,4778.24141202,0.0047782414120200005,75.342198459624,35.11418646924992,False,-2.54,1.23,0
8542,0,0,0.0,2151.10195876,197876.597884,0.197876597884,75.32122844822963,35.132403408663095,True,-2.54,1.23,0
8543,0,0,0.0,1158.66227061,77195.5253182,0.0771955253182,75.33150808930209,35.141508037771665,False,-2.54,1.23,0
8544,0,0,0.0,429.362210605,9286.81721493,0.00928681721493,75.37521955752017,35.126294465957116,False,-2.54,1.23,0
8545,0,0,0.0,707.752841507,34971.725602,0.034971725602,75.36976239220967,35.12366806772041,False,-2.54,1.23,0
8546,0,0,0.0,650.465495839,22942.4123689,0.0229424123689,75.27173659135157,35.11402503952892,False,-2.4,1.63,0
8547,0,0,0.0,515.959986123,13231.424272,0.013231424272000001,75.27711279325976,35.10700718230461,False,-2.4,1.63,0
8548,0,0,0.0,161.804132144,1703.07149928,0.00170307149928,75.2930059880278,35.12422125912353,False,-2.4,1.63,0
8549,0,0,0.0,298.509820742,4266.99822485,0.00426699822485,75.28862961808812,35.1222176123772,False,-2.4,1.63,0
8550,0,0,0.0,187.313258708,2175.18743765,0.00217518743765,75.25847792383537,35.11929798560325,False,-2.4,1.63,0
8551,0,0,0.0,206.172154494,2721.35816959,0.00272135816959,75.23148030283444,35.12761442766576,False,-2.4,1.63,0
8552,0,0,0.0,377.586768512,8217.55659888,0.00821755659888,75.22865411683479,35.13905447871667,False,-2.4,1.63,0
8553,0,0,0.0,266.784053296,4299.81963249,0.00429981963249,75.26529738867667,35.14252948517426,False,-2.4,1.63,0
8554,0,0,0.0,494.209560575,11153.3104777,0.0111533104777,75.2509490382782,35.138086057479946,False,-2.4,1.63,0
8555,0,0,0.0,495.392817802,12594.5372157,0.0125945372157,75.22011732319068,35.15387479551019,False,-2.4,1.63,0
8556,0,0,0.0,91.2213342792,520.098873285,0.000520098873285,75.21954973580964,35.15475949251768,False,-2.4,1.63,0
8557,0,0,0.0,131.787378029,872.293407939,0.000872293407939,75.21003640525129,35.14639844853898,False,-2.4,1.63,0
8558,0,0,0.0,448.45416977,10857.9914884,0.0108579914884,75.1842705364441,35.20130078567615,False,-2.4,1.63,0
8559,0,0,0.0,267.225318486,4176.19885563,0.00417619885563,75.1874571353777,35.185801803800196,False,-2.4,1.63,0
8560,0,0,0.0,516.138079861,16813.993813,0.016813993813,75.19395067910146,35.19033430958952,False,-2.4,1.63,0
8561,0,0,0.0,81.3044988991,387.16154389,0.00038716154389,75.20298741481704,35.1910955506931,False,-2.4,1.63,0
8562,0,0,0.0,133.464347275,924.586650195,0.000924586650195,75.20035078430784,35.18915523798396,False,-2.4,1.63,0
8563,0,0,0.0,221.198743983,2712.46111349,0.00271246111349,75.2863662657606,35.141015730555196,False,-2.4,1.63,0
8564,0,0,0.0,111.651740214,777.471437697,0.000777471437697,75.28021567836657,35.150592916941626,False,-2.4,1.63,0
8565,0,0,0.0,175.513916001,2028.57549459,0.00202857549459,75.27964618393005,35.151261441660694,False,-2.4,1.63,0
8566,0,0,0.0,487.601466204,6926.41151965,0.00692641151965,75.27039686717798,35.15192613631713,False,-2.4,1.63,0
8567,0,0,0.0,105.966506319,791.648130176,0.000791648130176,75.28290252611669,35.14661381151049,False,-2.4,1.63,0
8568,0,0,0.0,158.553244518,1107.82086776,0.00110782086776,75.29973437100719,35.16103652566995,False,-2.4,1.63,0
8569,0,0,0.0,194.25976674,2100.79127808,0.0021007912780800003,75.29651532193978,35.163215833384115,False,-2.4,1.63,0
8570,0,0,0.0,512.792210414,13718.492466,0.013718492466,75.2967315619483,35.1690910648203,False,-2.4,1.63,0
8571,0,0,0.0,181.109736025,1642.58931034,0.00164258931034,75.3096602638522,35.165840843471805,False,-2.4,1.63,0
8572,0,0,0.0,210.177252309,2438.68321002,0.0024386832100199997,75.30906094502562,35.166908867020496,False,-2.4,1.63,0
8573,0,0,0.0,410.852001169,11561.5781317,0.0115615781317,75.31288136207702,35.17435658597223,False,-2.54,1.23,0
8574,0,0,0.0,154.940931109,1330.30782688,0.00133030782688,75.32924193267273,35.163716158171894,False,-2.54,1.23,0
8575,0,0,0.0,134.999462732,979.712290021,0.000979712290021,75.3436980414284,35.159278850408505,False,-2.54,1.23,0
8576,0,0,0.0,396.034158368,4312.00302035,0.00431200302035,75.34009215074816,35.16031298780842,False,-2.54,1.23,0
8577,0,0,0.0,175.169525471,1823.340905,0.001823340905,75.33451734513791,35.1678116399363,False,-2.54,1.23,0
8578,0,0,0.0,1315.8845432,84438.4924811,0.0844384924811,75.33373771213813,35.17328130031538,False,-2.54,1.23,0
8579,0,0,0.0,101.953448846,599.633247825,0.000599633247825,75.33722188882011,35.17194788916423,False,-2.54,1.23,0
8580,0,0,0.0,348.258897841,5412.05798354,0.00541205798354,75.30634235393005,35.18936881790643,False,-2.4,1.63,0
8581,0,0,0.0,88.5362219703,498.432710769,0.000498432710769,75.3128559268857,35.19266293996009,False,-2.54,1.23,0
8582,0,0,0.0,673.212901908,22277.6638519,0.0222776638519,75.32861339312652,35.18790815920518,False,-2.54,1.23,0
8583,0,0,0.0,649.657742086,26725.9522047,0.0267259522047,75.3428780175535,35.1850492933708,False,-2.54,1.23,0
8584,0,0,0.0,274.155572315,3181.92974894,0.00318192974894,75.34724251720634,35.183116851817815,False,-2.54,1.23,0
8585,0,0,0.0,449.5941487,12279.9006274,0.0122799006274,75.34085392696335,35.17870971285473,False,-2.54,1.23,0
8586,0,0,0.0,76.768214708,393.565776872,0.000393565776872,75.35113765998946,35.17432064971522,False,-2.54,1.23,0
8587,0,0,0.0,111.227341768,616.60211856,0.00061660211856,75.35018869441404,35.17426702900803,False,-2.54,1.23,0
8588,0,0,0.0,284.547030313,3797.32629079,0.00379732629079,75.34921451216728,35.17413096653894,False,-2.54,1.23,0
8589,0,0,0.0,208.41376214,1650.98980475,0.00165098980475,75.35961982335593,35.17643546223767,False,-2.54,1.23,0
8590,0,0,0.0,953.836718787,57398.1048026,0.0573981048026,75.35362510031801,35.17763564618523,False,-2.54,1.23,0
8591,0,0,0.0,336.524340529,5093.05581228,0.00509305581228,75.36326160255304,35.17649174967144,False,-2.54,1.23,0
8592,0,0,0.0,169.027608333,1952.85114823,0.0019528511482300001,75.37731463119896,35.181390219640484,False,-2.54,1.23,0
8593,0,0,0.0,853.618514055,47855.1677445,0.0478551677445,75.37762498003032,35.16905297922597,False,-2.54,1.23,0
8594,0,0,0.0,732.477673897,21540.1389182,0.0215401389182,75.38093536296711,35.16655651753657,False,-2.54,1.23,0
8595,0,0,0.0,835.62127336,34367.7911162,0.0343677911162,75.36899472438168,35.207137469765655,False,-2.54,1.23,0
8596,0,0,0.0,301.680137368,5611.96922433,0.0056119692243299995,75.36389434886063,35.20578393492837,False,-2.54,1.23,0
8597,0,0,0.0,809.377429994,45686.9780247,0.0456869780247,75.35289902130627,35.19437526117395,False,-2.54,1.23,0
8598,0,0,0.0,240.129119313,3608.67855751,0.0036086785575099997,75.3489573839419,35.19762094653914,False,-2.54,1.23,0
8599,0,0,0.0,308.637413736,5255.80271333,0.0052558027133300005,75.33487740689384,35.19864934101714,False,-2.54,1.23,0
8600,0,0,0.0,529.307268261,17371.429069,0.017371429069,75.33653190778209,35.20127604884883,False,-2.54,1.23,0
8601,0,0,0.0,760.38528127,30943.2982995,0.0309432982995,75.33425991646072,35.20655700532429,False,-2.54,1.23,0
8602,0,0,0.0,239.57458579,2671.93525531,0.00267193525531,75.33355440110202,35.209216228142466,False,-2.54,1.23,0
8603,0,0,0.0,465.055972657,15281.8939216,0.0152818939216,75.33566477501594,35.212574097879454,False,-2.54,1.23,0
8604,0,0,0.0,72.2773952043,362.669003566,0.000362669003566,75.35598390446539,35.20953531640738,False,-2.54,1.23,0
8605,0,0,0.0,188.726137423,2622.0918387,0.0026220918387,75.34716546985,35.220273053538634,False,-2.54,1.23,0
8606,0,0,0.0,830.934399335,32405.4156117,0.032405415611699996,75.34600095535868,35.223617431261,False,-2.54,1.23,0
8607,0,0,0.0,184.936288095,2159.4669433,0.0021594669433,75.37183452408983,35.230470843753864,False,-2.54,1.23,0
8608,0,0,0.0,141.055522891,1231.73172497,0.00123173172497,75.36399771413136,35.23485833808393,False,-2.54,1.23,0
8609,0,0,0.0,268.709305933,4276.09504031,0.00427609504031,75.37564720585829,35.240459663800046,False,-2.54,1.23,0
8610,0,0,0.0,200.695182918,2590.59142016,0.00259059142016,75.38277635451398,35.24476324665471,False,-2.54,1.23,0
8611,0,0,0.0,464.251856492,11039.5864624,0.0110395864624,75.35034319531903,35.24249305567385,False,-2.54,1.23,0
8612,0,0,0.0,542.966095054,17348.4068248,0.0173484068248,75.29603522867386,35.25541548614204,False,1.52,1.06,0
8613,0,0,0.0,117.398706531,812.12324875,0.00081212324875,75.28356786762959,35.25177713332056,False,1.52,1.06,0
8614,0,0,0.0,739.72038039,16697.8038787,0.0166978038787,75.28386589034814,35.249601089310936,False,-2.4,1.63,0
8615,0,0,0.0,360.762031883,6336.28440799,0.00633628440799,75.25420036755092,35.242672809190985,False,-2.4,1.63,0
8616,0,0,0.0,87.0739561764,497.906652963,0.000497906652963,75.28905232138338,35.246895283822866,False,-2.4,1.63,0
8617,0,0,0.0,166.430196106,1568.26731278,0.0015682673127800002,75.29238430622605,35.26477939022479,False,1.52,1.06,0
8618,0,0,0.0,180.001829338,1447.07179706,0.0014470717970600001,75.29024763897381,35.26417855253134,False,1.52,1.06,0
